CustomerID,Age,Gender,AnnualIncome,Education,Region,PurchaseFrequency,AvgOrderValue,WebVisitsPerMonth,DiscountUsagePct,RecencyDays,SpendingScore
C0050,37,Female,79600.0,Master,North,8,45.92,8.0,22.5,54,48.7
C0051,39,Female,73500.0,Master,East,12,43.63,7.0,28.3,68,31.4
C0052,43,Female,77200.0,Master,South,10,46.83,6.0,17.2,77,52.0
C0053,20,Male,54800.0,High School,South,7,36.81,10.0,72.2,53,33.7
C0054,32,Female,109800.0,Bachelor,North,9,71.37,3.0,26.9,76,87.3
C0055,31,Male,50000.0,Master,South,4,28.44,8.0,44.7,53,26.1
C0056,29,Female,50200.0,Bachelor,West,8,54.38,6.0,40.6,39,58.7
C0057,33,Female,48400.0,Master,North,8,33.54,13.0,37.0,13,60.8
C0058,52,Female,42300.0,Bachelor,West,5,43.73,8.0,31.9,43,52.1
C0059,26,Male,81000.0,Bachelor,East,15,65.51,11.0,30.3,27,74.2
C0060,47,Male,79100.0,Bachelor,East,13,60.01,18.0,33.8,36,82.0
C0061,18,Male,71500.0,Master,West,11,39.34,14.0,3.1,34,81.4
C0062,32,Male,104400.0,High School,North,13,73.74,14.0,3.6,11,100.0
C0063,38,Male,66100.0,Master,West,4,37.08,7.0,24.1,87,42.5
C0064,42,Female,31300.0,Bachelor,South,6,29.37,7.0,41.9,41,59.9
C0065,44,Male,67700.0,High School,South,7,29.19,7.0,45.9,23,23.3
C0066,45,Male,81300.0,Master,South,10,54.08,,25.2,47,47.4
C0067,32,Female,47800.0,Bachelor,East,1,33.18,3.0,50.1,15,18.2
C0068,31,Male,50600.0,High School,South,10,45.35,10.0,10.1,64,56.6
C0069,45,Male,77100.0,PhD,West,7,56.15,8.0,24.9,37,95.2
C0070,34,Female,69100.0,Master,North,15,39.02,13.0,8.9,44,60.0
C0071,22,Male,33100.0,Bachelor,East,11,32.43,9.0,29.6,1,59.6
C0072,24,Male,63500.0,Master,East,5,48.51,3.0,2.5,62,29.4
C0073,26,Female,70800.0,Bachelor,East,4,45.42,6.0,29.2,80,51.1
C0074,41,Male,68000.0,Bachelor,East,10,46.74,13.0,7.4,27,50.7
C0075,38,Male,69200.0,High School,East,15,40.67,6.0,20.4,61,43.5
C0076,44,Male,24100.0,High School,West,4,16.63,5.0,49.5,22,36.9
C0077,31,Male,94400.0,Bachelor,North,9,68.01,5.0,27.7,1,82.0
C0078,38,Female,92500.0,Bachelor,South,15,69.07,9.0,5.3,34,100.0
C0079,43,Male,59400.0,Master,East,10,45.3,9.0,16.9,19,61.8
C0080,33,Male,73000.0,Bachelor,South,10,56.54,13.0,7.0,46,79.2
C0081,41,Male,18000.0,Bachelor,West,8,26.35,7.0,4.7,18,62.9
C0082,29,Female,29900.0,Master,East,5,26.53,15.0,46.6,50,36.2
C0083,32,Male,58500.0,PhD,East,21,40.49,9.0,31.7,7,79.4
C0084,32,Female,77500.0,Bachelor,North,15,45.49,12.0,30.3,9,66.7
C0085,23,Male,80700.0,Master,South,8,47.57,5.0,32.2,102,44.7
C0086,41,Female,108900.0,Master,East,5,58.2,5.0,24.9,76,35.2
C0087,31,Male,70800.0,High School,South,18,42.63,11.0,21.7,33,56.4
C0088,36,Male,46600.0,Bachelor,West,7,28.67,6.0,12.1,59,23.3
C0089,41,Female,82500.0,High School,North,13,66.56,19.0,19.7,14,90.8
C0090,41,Male,100400.0,Master,North,11,68.93,12.0,9.1,20,59.8
C0091,43,Female,24700.0,Bachelor,South,11,30.13,10.0,21.5,45,36.1
C0092,35,Female,70500.0,Bachelor,South,12,38.64,11.0,26.1,43,63.2
C0093,31,Female,105100.0,Master,West,10,56.65,7.0,23.6,91,68.1
C0094,35,Male,23200.0,Bachelor,West,1,19.47,5.0,70.7,9,43.8
C0095,18,Female,18200.0,Bachelor,South,12,15.23,6.0,15.4,53,25.6
C0096,20,Male,86100.0,Master,East,10,62.12,16.0,23.5,14,98.6
C0097,21,Female,33000.0,PhD,South,2,28.53,12.0,22.6,16,69.5
C0098,25,Female,112800.0,Master,East,11,71.24,12.0,20.3,14,88.4
C0099,40,Female,70300.0,High School,East,10,51.95,7.0,20.8,96,66.4
C0100,26,Female,26000.0,High School,East,4,20.14,12.0,35.1,95,70.6
C0101,32,Female,76300.0,High School,West,12,72.44,14.0,19.6,15,85.3
C0102,50,Female,52300.0,Bachelor,East,12,42.92,14.0,22.7,39,76.0
C0103,32,Male,93000.0,Bachelor,South,16,70.41,11.0,19.8,22,83.1
C0104,44,Female,82500.0,Master,North,21,54.3,16.0,8.2,6,83.5
C0105,26,Male,40200.0,Master,East,4,26.52,8.0,23.0,17,17.0
C0106,34,Male,63100.0,Bachelor,West,2,42.63,9.0,31.3,37,52.9
C0107,26,Female,81800.0,Bachelor,East,6,48.97,3.0,25.9,60,23.2
C0108,32,Male,108000.0,Bachelor,West,14,62.36,7.0,31.7,1,58.6
C0109,45,Female,69400.0,Bachelor,South,15,67.09,12.0,22.2,38,98.8
C0110,18,Male,58900.0,Master,North,8,30.86,4.0,30.3,21,58.1
C0111,41,Male,42200.0,High School,East,6,47.57,6.0,4.4,99,86.9
C0112,39,Female,70200.0,Master,North,9,,9.0,31.5,57,32.5
C0113,29,Male,33700.0,High School,North,12,14.36,10.0,16.6,70,24.7
C0114,20,Female,53000.0,Bachelor,East,8,48.05,13.0,57.8,17,41.1
C0115,37,Female,27500.0,PhD,South,10,36.38,8.0,49.9,12,43.8
C0116,30,Female,68500.0,High School,East,18,35.42,13.0,22.7,13,75.2
C0117,39,Male,80700.0,High School,East,7,55.72,6.0,12.7,98,71.2
C0118,36,Female,67000.0,Bachelor,South,1,43.51,10.0,32.1,33,32.5
C0119,54,Male,41100.0,Bachelor,East,9,35.79,7.0,45.7,16,56.1
C0120,33,Male,96900.0,High School,East,8,63.44,8.0,21.2,28,35.1
C0121,25,Male,55300.0,High School,East,15,52.72,8.0,18.2,1,73.7
C0122,38,Male,93900.0,High School,East,13,67.62,11.0,31.8,9,92.3
C0123,38,Female,70900.0,Bachelor,South,7,61.23,18.0,31.0,13,52.2
C0124,51,Male,89700.0,Bachelor,East,16,67.11,9.0,20.8,15,79.1
C0125,45,Male,60900.0,Master,East,5,35.35,8.0,30.3,1,40.6
C0126,40,Female,53300.0,Master,North,8,30.64,16.0,30.5,49,41.2
C0127,52,Female,55900.0,High School,North,9,57.33,8.0,15.8,39,92.8
C0128,23,Male,95000.0,Bachelor,North,7,49.18,12.0,27.6,106,46.2
C0129,29,Male,90300.0,High School,North,11,54.63,10.0,26.8,1,65.8
C0130,26,Male,18000.0,Bachelor,South,8,10.0,6.0,16.6,16,12.2
C0131,32,Female,79500.0,Bachelor,West,4,45.39,5.0,40.7,15,27.0
C0132,21,Female,121100.0,Master,West,7,69.3,12.0,31.2,26,62.5
C0133,43,Female,92300.0,Bachelor,West,16,52.47,13.0,32.6,3,78.9
C0134,34,Female,52200.0,Bachelor,East,19,56.59,13.0,26.4,52,98.8
C0135,20,Male,90100.0,Master,North,14,56.67,8.0,1.3,15,74.2
C0136,25,Female,89000.0,Master,South,16,81.22,5.0,40.3,16,100.0
C0137,39,Male,89000.0,Bachelor,West,11,58.66,18.0,29.9,46,64.3
C0138,45,Male,88000.0,High School,West,16,67.87,18.0,10.6,22,76.0
C0139,58,Male,57600.0,PhD,West,12,38.7,9.0,38.3,37,32.4
C0140,68,Male,76500.0,Bachelor,South,9,56.42,10.0,27.8,74,49.7
C0141,41,Female,32100.0,Master,South,12,38.37,4.0,33.2,49,79.1
C0142,25,Male,72500.0,Master,East,7,35.63,8.0,39.4,19,5.0
C0143,18,Male,110200.0,Bachelor,North,9,,9.0,34.9,120,14.4
C0144,39,Male,68800.0,Bachelor,North,13,60.78,6.0,3.5,32,48.4
C0145,27,Female,57600.0,High School,North,14,40.24,12.0,12.5,24,63.8
C0146,31,Female,61900.0,Bachelor,East,7,48.89,5.0,0.2,59,60.8
C0147,29,Female,78500.0,Bachelor,North,7,49.56,4.0,14.2,79,55.6
C0148,34,Female,48200.0,Master,East,13,41.96,14.0,43.1,1,66.1
C0149,48,Female,57400.0,Master,South,7,40.11,15.0,67.2,2,54.8
C0150,38,Male,56400.0,Master,West,4,,7.0,27.8,60,67.2
C0151,34,Male,105700.0,PhD,North,12,59.66,12.0,17.3,95,52.1
C0152,25,Male,61200.0,Master,South,8,50.24,11.0,22.3,92,61.8
C0153,18,Male,101700.0,High School,North,8,56.19,6.0,30.7,65,61.3
C0154,31,Female,40700.0,Bachelor,South,5,35.73,9.0,6.2,63,43.1
C0155,35,Male,116300.0,Bachelor,East,16,76.9,12.0,18.1,1,91.0
C0156,55,Male,98900.0,Bachelor,North,11,64.01,13.0,42.2,17,81.6
C0157,37,Female,45900.0,High School,East,6,39.68,9.0,12.5,92,49.9
C0158,47,Male,68900.0,Bachelor,West,4,62.07,6.0,16.0,34,100.0
C0159,31,Male,91700.0,Bachelor,North,8,46.82,7.0,25.2,75,8.8
C0160,23,Male,72600.0,Bachelor,North,19,52.83,12.0,28.4,20,50.9
C0161,25,Female,27800.0,Master,West,11,21.33,14.0,17.5,36,29.1
C0162,28,Male,56400.0,Bachelor,East,4,18.91,5.0,37.4,17,19.2
C0163,59,Male,45100.0,Bachelor,West,12,29.62,4.0,32.3,71,47.0
C0164,27,Male,57500.0,Bachelor,East,6,17.92,16.0,48.5,47,17.7
C0165,45,Female,63200.0,Bachelor,East,7,41.55,8.0,23.5,95,32.9
C0166,26,Male,18000.0,High School,North,3,18.06,12.0,42.2,37,17.2
C0167,46,Male,29500.0,Bachelor,East,2,45.37,12.0,43.3,82,100.0
C0168,40,Female,75600.0,Bachelor,South,8,61.94,15.0,18.4,41,96.6
C0169,34,Female,79800.0,Master,West,8,60.23,16.0,9.1,1,68.7
C0170,36,Male,18000.0,High School,North,11,11.6,15.0,28.0,1,57.8
C0171,29,Male,71400.0,PhD,North,6,36.36,2.0,44.7,25,18.6
C0172,41,Male,71000.0,Master,East,9,26.7,15.0,29.3,37,17.3
C0173,31,Female,49300.0,Bachelor,West,11,34.84,6.0,23.8,13,59.8
C0174,23,Male,36000.0,Bachelor,West,7,35.64,2.0,7.6,81,31.8
C0175,22,Female,83400.0,Bachelor,East,17,60.67,6.0,24.3,46,60.5
C0176,38,Female,55900.0,Master,South,4,31.78,12.0,51.1,33,6.9
C0177,53,Female,117400.0,Master,South,15,64.54,6.0,10.2,44,49.7
C0178,38,Male,74200.0,Master,West,7,39.92,11.0,22.1,83,52.5
C0179,35,Female,96600.0,Master,North,11,67.98,10.0,20.4,7,91.0
C0180,39,Female,61300.0,Bachelor,North,9,52.96,7.0,16.6,22,69.3
C0181,50,Female,116200.0,Master,East,16,69.51,18.0,28.0,31,55.3
C0182,38,Male,78800.0,Bachelor,South,5,40.49,8.0,30.3,90,63.2
C0183,31,Female,92500.0,Bachelor,South,10,51.22,10.0,30.2,63,33.7
C0184,48,Female,46000.0,Bachelor,West,5,22.06,5.0,36.9,1,58.2
C0185,41,Female,84200.0,Master,South,23,63.2,9.0,5.2,1,77.1
C0186,53,Female,54500.0,High School,West,8,26.35,12.0,28.1,66,25.8
C0187,38,Female,101200.0,High School,North,13,55.52,11.0,18.9,1,72.3
C0188,23,Male,98000.0,Bachelor,South,5,65.59,9.0,47.1,85,61.3
C0189,21,Female,56000.0,PhD,North,10,44.09,10.0,70.4,41,58.9
C0190,54,Female,51700.0,Bachelor,East,7,34.45,15.0,66.5,19,37.3
C0191,55,Female,71900.0,Bachelor,West,9,67.86,7.0,13.7,36,79.3
C0192,34,Male,59600.0,Bachelor,West,9,49.19,4.0,31.8,106,70.6
C0193,32,Male,85900.0,Bachelor,North,9,46.18,6.0,35.5,38,46.5
C0194,52,Female,59200.0,Master,West,13,56.4,10.0,34.1,7,100.0
C0195,24,Female,46800.0,PhD,North,6,39.79,4.0,20.7,42,82.0
C0196,26,Male,47800.0,Master,East,11,51.51,6.0,40.3,86,83.7
C0197,43,Male,18000.0,Master,East,8,16.3,10.0,25.0,98,24.6
C0198,32,Female,81600.0,High School,North,14,55.14,9.0,26.5,45,61.5
C0199,36,Female,87100.0,Bachelor,North,13,54.54,11.0,6.5,40,100.0
C0200,34,Male,60600.0,Bachelor,North,13,39.23,16.0,32.7,23,45.1
C0201,40,Male,89500.0,Master,East,13,49.47,15.0,21.9,43,36.8
C0202,51,Male,59600.0,High School,East,6,30.62,1.0,30.6,70,42.8
C0203,37,Male,42300.0,Master,North,13,37.86,12.0,27.8,1,80.7
C0204,43,Female,63700.0,High School,East,4,42.56,9.0,27.2,42,42.1
C0205,18,Female,88100.0,Bachelor,West,9,48.91,8.0,24.5,68,35.6
C0206,35,Female,43500.0,Bachelor,North,6,19.25,11.0,34.4,49,37.4
C0207,27,Female,75100.0,Master,East,12,44.93,9.0,22.6,1,50.8
C0208,23,Male,77300.0,Master,South,7,39.79,4.0,7.5,42,31.8
C0209,26,Male,60100.0,Bachelor,South,13,54.39,16.0,31.8,36,100.0
C0210,32,Male,79200.0,Master,South,3,51.13,9.0,15.3,117,58.1
C0211,46,Male,64700.0,Master,South,9,46.98,10.0,9.1,1,81.8
C0212,21,Female,80400.0,Bachelor,South,9,45.82,4.0,12.7,37,49.6
C0213,36,Male,35400.0,Master,North,6,25.21,11.0,31.8,16,34.7
C0214,31,Female,56000.0,High School,South,5,37.62,10.0,31.6,44,21.7
C0215,32,Male,60400.0,Bachelor,East,12,30.56,5.0,0.0,72,5.0
C0216,47,Male,38300.0,High School,South,7,36.06,7.0,20.4,12,34.9
C0217,42,Male,30600.0,Bachelor,East,4,25.45,12.0,39.0,65,14.4
C0218,51,Female,80100.0,Bachelor,North,9,53.67,9.0,19.6,38,27.2
C0219,34,Female,57300.0,High School,North,13,42.66,7.0,23.0,57,28.2
C0220,28,Female,42500.0,Bachelor,West,4,48.86,5.0,37.5,70,74.4
C0221,34,Male,90600.0,Master,South,11,49.63,13.0,34.5,24,66.2
C0222,39,Female,76900.0,Bachelor,East,7,56.0,9.0,48.2,26,66.1
C0223,38,Female,18000.0,High School,East,7,31.91,8.0,0.0,69,60.8
C0224,24,Male,66400.0,High School,North,15,61.93,13.0,45.8,5,87.8
C0225,37,Male,67500.0,Bachelor,West,9,40.29,10.0,32.6,42,60.0
C0226,39,Male,97100.0,Master,South,3,65.57,7.0,54.5,93,67.3
C0227,64,Male,71200.0,Master,West,18,52.84,14.0,15.6,46,79.8
C0228,57,Female,81900.0,Bachelor,South,10,63.83,12.0,3.8,48,54.7
C0229,27,Male,69100.0,Master,South,11,42.49,12.0,25.1,21,83.2
C0230,33,Female,33800.0,Bachelor,East,1,22.27,13.0,35.7,21,49.2
C0231,20,Female,101300.0,PhD,North,11,50.75,8.0,32.8,44,69.6
C0232,30,Male,60300.0,High School,East,8,33.19,8.0,45.4,38,19.0
C0233,39,Female,91900.0,Bachelor,West,12,70.56,11.0,24.0,62,51.7
C0234,49,Male,90000.0,Bachelor,East,15,58.65,18.0,22.1,20,72.2
C0235,28,Male,95200.0,Bachelor,North,10,65.75,7.0,31.3,35,87.2
C0236,29,Male,61100.0,High School,East,8,38.23,13.0,35.4,35,26.4
C0237,18,Male,75700.0,High School,North,5,43.8,10.0,46.5,28,40.8
C0238,34,Male,82800.0,Bachelor,North,6,53.82,3.0,37.4,52,54.6
C0239,24,Female,29400.0,Master,South,8,31.58,4.0,40.1,90,62.0
C0240,30,Female,18000.0,Master,South,7,16.12,14.0,55.4,39,72.2
C0241,26,Female,87000.0,High School,North,4,57.58,15.0,23.0,105,74.7
C0242,35,Male,82100.0,Master,North,3,47.66,11.0,16.3,36,20.6
C0243,18,Female,27100.0,Bachelor,West,7,36.15,8.0,32.1,22,69.3
C0244,20,Male,49900.0,PhD,South,11,51.03,7.0,15.9,16,77.0
C0245,59,Female,67200.0,High School,North,8,52.05,15.0,23.4,2,76.7
C0246,22,Female,85500.0,Master,South,11,54.82,5.0,16.9,116,53.9
C0247,24,Female,104500.0,Master,East,15,62.16,10.0,24.8,41,37.6
C0248,56,Male,107600.0,Master,East,8,53.94,16.0,12.5,35,36.7
C0249,68,Female,49800.0,Master,South,5,27.95,,14.8,35,39.1
C0250,23,Female,45400.0,Bachelor,North,16,24.34,3.0,39.7,59,18.4
C0251,32,Male,104700.0,Master,West,19,62.7,16.0,13.4,14,96.1
C0252,40,Female,78800.0,Bachelor,East,10,61.4,15.0,25.0,10,91.0
C0253,55,Male,42700.0,Bachelor,West,7,36.62,6.0,36.5,54,39.5
C0254,25,Female,110100.0,PhD,South,10,57.76,4.0,36.0,85,50.8
C0255,33,Female,94100.0,Bachelor,North,11,51.7,10.0,42.2,32,23.6
C0256,45,Female,90000.0,Bachelor,South,11,46.32,10.0,28.6,72,39.3
C0257,41,Male,44700.0,Master,South,7,29.82,8.0,33.7,107,66.4
C0258,32,Male,83800.0,Bachelor,East,18,67.12,11.0,41.5,15,58.5
C0259,35,Female,79100.0,High School,East,8,49.55,4.0,30.1,85,82.5
C0260,21,Male,74700.0,Bachelor,North,13,40.7,16.0,3.0,20,62.8
C0261,33,Female,117500.0,Master,East,10,76.06,23.0,18.7,1,84.7
C0262,33,Male,79000.0,Master,South,10,51.5,9.0,33.4,80,54.9
C0263,39,Female,102400.0,High School,East,15,73.01,12.0,17.5,27,87.2
C0264,30,Male,79000.0,Bachelor,South,8,61.73,9.0,44.4,78,47.2
C0265,41,Male,72500.0,Bachelor,East,5,42.09,14.0,24.2,14,58.3
C0266,47,Male,25800.0,Master,East,13,23.69,12.0,26.0,22,64.1
C0267,38,Male,87400.0,Master,South,11,68.45,13.0,38.5,53,69.9
C0268,40,Male,52800.0,PhD,North,14,48.11,11.0,22.8,1,70.2
C0269,37,Male,36800.0,Bachelor,East,6,37.0,4.0,27.1,64,58.6
C0270,36,Male,102000.0,Bachelor,West,12,61.92,6.0,35.8,22,78.7
C0271,28,Male,103000.0,Bachelor,South,6,74.35,7.0,7.3,71,78.5
C0272,39,Female,117600.0,Bachelor,West,10,83.46,10.0,21.6,19,97.6
C0273,35,Female,96800.0,Bachelor,North,15,61.48,14.0,34.9,26,64.5
C0274,59,Female,94700.0,High School,West,7,52.52,11.0,25.8,64,54.2
C0275,53,Male,65300.0,High School,West,18,39.82,10.0,42.6,67,37.6
C0276,40,Male,60200.0,PhD,South,12,47.72,4.0,11.0,50,35.3
C0277,28,Male,24900.0,High School,North,6,10.11,7.0,20.2,53,25.8
C0278,24,Female,73700.0,Bachelor,East,12,50.1,12.0,34.2,39,88.7
C0279,49,Female,66300.0,Master,West,12,41.94,14.0,35.4,15,64.7
C0280,39,Male,69600.0,High School,North,7,47.1,13.0,22.7,23,73.3
C0281,41,Male,94800.0,Bachelor,East,21,67.65,15.0,29.8,23,98.7
C0282,18,Male,63200.0,Bachelor,West,10,37.64,12.0,33.9,46,8.7
C0283,46,Male,104500.0,Bachelor,North,5,56.23,10.0,15.2,31,21.9
C0284,41,Female,84700.0,Bachelor,East,8,55.86,7.0,16.5,49,67.8
C0285,24,Male,54000.0,Bachelor,North,1,38.07,10.0,44.6,31,46.3
C0286,31,Male,53200.0,Bachelor,North,6,39.56,10.0,45.1,35,44.0
C0287,39,Male,84500.0,High School,South,13,38.53,15.0,11.0,1,47.6
C0288,37,Male,60500.0,High School,South,11,46.84,8.0,22.6,73,47.3
C0289,33,Male,80800.0,Bachelor,North,14,62.7,18.0,22.1,20,100.0
C0290,35,Male,55400.0,Bachelor,West,10,36.94,9.0,45.9,54,59.4
C0291,33,Male,85100.0,PhD,North,13,60.61,9.0,24.9,30,78.2
C0292,38,Male,57400.0,High School,West,11,43.03,11.0,18.4,4,69.9
C0293,52,Female,76200.0,Bachelor,North,12,51.15,9.0,40.0,31,52.3
C0294,18,Female,61900.0,Bachelor,East,1,29.41,7.0,42.3,42,5.0
C0295,33,Male,18000.0,Master,East,3,17.8,7.0,48.2,20,49.2
C0296,38,Female,56400.0,Bachelor,South,8,48.56,11.0,25.5,4,48.8
C0297,39,Male,86900.0,High School,South,6,51.14,7.0,16.4,84,26.7
C0298,32,Female,88300.0,Bachelor,West,13,51.4,9.0,31.2,66,36.6
C0299,18,Female,87600.0,Bachelor,North,10,53.33,7.0,28.8,96,34.7
C0300,40,Male,54200.0,Master,West,6,24.37,11.0,46.1,23,18.7
C0301,55,Male,46400.0,High School,East,7,49.04,7.0,31.6,84,50.9
C0302,19,Female,41200.0,Master,West,13,16.77,14.0,50.1,1,22.7
C0303,46,Male,72600.0,Bachelor,South,8,47.44,6.0,16.0,75,54.6
C0304,32,Male,112400.0,Master,South,16,71.01,16.0,5.6,51,87.8
C0305,35,Female,93300.0,High School,East,9,55.27,9.0,12.4,5,60.5
C0306,24,Male,89200.0,Master,East,10,42.04,15.0,16.6,20,18.7
C0307,32,Female,62100.0,Master,West,3,30.06,9.0,13.3,68,29.0
C0308,50,Female,37600.0,Bachelor,West,7,45.32,7.0,26.1,52,79.6
C0309,42,Female,88900.0,Bachelor,North,13,39.51,22.0,40.0,23,30.1
C0310,55,Female,96400.0,High School,North,10,70.54,9.0,43.5,1,79.4
C0311,49,Female,39900.0,Bachelor,West,6,25.92,10.0,50.5,28,13.0
C0312,41,Female,,Master,South,5,29.89,13.0,73.8,39,49.2
C0313,55,Female,70600.0,Bachelor,East,6,44.42,10.0,20.7,60,34.5
C0314,41,Female,42600.0,Master,North,6,30.39,9.0,8.4,12,48.6
C0315,45,Female,51200.0,Master,North,13,28.78,3.0,37.6,87,52.9
C0316,33,Female,71900.0,Master,South,10,42.99,8.0,2.9,102,71.9
C0317,37,Female,50700.0,Master,East,7,37.26,7.0,39.8,11,38.5
C0318,28,Male,101600.0,Bachelor,West,14,74.26,11.0,31.2,1,95.4
C0319,47,Female,71000.0,Bachelor,West,8,39.31,9.0,23.8,33,21.4
C0320,23,Male,39900.0,High School,North,8,34.63,6.0,22.7,80,76.9
C0321,45,Male,54400.0,Master,North,7,32.04,4.0,10.8,67,34.6
C0322,34,Male,96600.0,PhD,East,10,53.5,13.0,24.9,33,47.4
C0323,49,Female,39400.0,Bachelor,East,13,21.31,14.0,37.0,21,62.5
C0324,44,Female,18400.0,PhD,North,13,12.68,6.0,25.2,54,15.5
C0325,56,Male,24000.0,PhD,South,14,28.3,7.0,15.0,67,54.9
C0326,44,Male,65600.0,Bachelor,West,8,46.12,9.0,10.0,76,63.2
C0327,19,Male,93400.0,Master,North,6,74.09,17.0,15.3,26,76.9
C0328,35,Male,62400.0,Bachelor,West,6,27.53,7.0,29.7,40,24.8
C0329,23,Male,91700.0,Bachelor,South,8,50.82,18.0,29.1,9,55.1
C0330,30,Female,18000.0,High School,East,5,18.14,11.0,27.1,48,44.6
C0331,53,Male,73700.0,Bachelor,East,6,38.89,4.0,0.0,75,14.7
C0332,43,Male,99400.0,Master,East,15,43.57,10.0,30.0,35,46.9
C0333,28,Male,32100.0,Bachelor,East,5,32.97,17.0,26.0,1,56.6
C0334,25,Female,56600.0,Master,North,8,43.69,5.0,33.3,46,64.8
C0335,36,Female,38700.0,Master,South,4,16.3,9.0,28.8,27,54.2
C0336,23,Male,35400.0,Master,West,6,32.36,12.0,30.1,61,68.4
C0337,29,Male,57800.0,Bachelor,North,7,36.18,5.0,26.8,52,62.2
C0338,39,Female,96400.0,Bachelor,East,5,56.11,10.0,53.3,89,61.9
C0339,49,Male,105400.0,High School,East,7,62.67,10.0,34.0,100,96.5
C0340,43,Female,57600.0,Bachelor,North,6,41.94,7.0,26.6,37,51.4
C0341,18,Female,106900.0,High School,North,13,74.12,9.0,29.3,14,52.8
C0342,39,Female,,High School,West,10,69.81,19.0,4.0,25,92.4
C0343,37,Female,133300.0,High School,North,12,67.65,13.0,11.5,1,88.7
